reference,edition_id,sender_id,sender,receiver_id,receiver,date,place_id,place
https://edition-humboldt.de/H0000003,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/115674667,Carl Sigismund Kunth,1848-05-26,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016555,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1848-05-30,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016577,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1848-05-31,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016556,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1848-06-01,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0011541,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/115674667,Carl Sigismund Kunth,1848-06-27,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016579,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1848-07-08,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016513,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1848-09-04,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016584,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1848-09-05,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016583,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1848-09-07,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016589,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1848-09-29,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016503,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1848-10-11,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016514,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1848-10-19,http://sws.geonames.org/2950159,
